"CDSCode","NCESDist","NCESSchool","StatusType","County","District","School","Street","StreetAbr","City","Zip","State","MailStreet","MailStrAbr","MailCity","MailZip","MailState","Phone","Ext","Website","OpenDate","ClosedDate","Charter","CharterNum","FundingType","DOC","DOCType","SOC","SOCType","EdOpsCode","EdOpsName","EILCode","EILName","GSoffered","GSserved","Virtual","Magnet","Latitude","Longitude","AdmFName1","AdmLName1","AdmEmail1","AdmFName2","AdmLName2","AdmEmail2","AdmFName3","AdmLName3","AdmEmail3","LastUpdate","NAVICAT_ROWID"
"01611436090252","0604740","00441","Active","Alameda","Berkeley Unified","Jefferson Elementary","1400 Ada Street","1400 Ada St.","Berkeley","94702-1217","CA","1400 Ada Street","1400 Ada St.","Berkeley","94702-1217","CA","(510) 644-6298",,,"1980-07-01",,"0",,,"54","Unified School District","60","Elementary Schools (Public)","TRAD","Traditional","ELEM","Elementary","K-5","K-5","N","0","37.878921","-122.28521","Sonya","Marin","sonyamartin@berkeley.net",,,,,,,"2015-06-18","121"
"01611436090260","0604740",,"Closed","Alameda","Berkeley Unified","Muir Model School","2955 Claremont Avenue","2955 Claremont Ave.","Berkeley","94705","CA","2955 Claremont Avenue","2955 Claremont Ave.","Berkeley","94705","CA",,,,"1980-07-01","1985-03-06","0",,,"54","Unified School District","60","Elementary Schools (Public)",,,"UG","Ungraded",,,,,,,,,,,,,,,,"1999-06-24","122"
"01611436090278","0604740","00445","Active","Alameda","Berkeley Unified","Leconte Elementary","2241 Russell Street","2241 Russell St.","Berkeley","94705-1029","CA","2241 Russell Street","2241 Russell St.","Berkeley","94705-1029","CA","(510) 644-6290",,,"1980-07-01",,"0",,,"54","Unified School District","60","Elementary Schools (Public)","TRAD","Traditional","ELEM","Elementary","K-5","K-5","N","0","37.857352","-122.26231","Veronica","Valerio","veronicavalerio@berkeley.net",,,,,,,"2015-06-18","123"
"01611436090286","0604740","00447","Active","Alameda","Berkeley Unified","Malcolm X Elementary","1731 Prince Street","1731 Prince St.","Berkeley","94703-2464","CA","1731 Prince Street","1731 Prince St.","Berkeley","94703-2464","CA","(510) 644-6313",,,"1980-07-01",,"0",,,"54","Unified School District","60","Elementary Schools (Public)","TRAD","Traditional","ELEM","Elementary","K-5","K-5","N","0","37.8522","-122.27373","Alex","Hunt","alexhunt@berkeley.net",,,,,,,"2015-06-18","124"
"01611436090294","0604740","00446","Active","Alameda","Berkeley Unified","Longfellow Arts and Technology Middle","1500 Derby Street","1500 Derby St.","Berkeley","94703-1817","CA","1500 Derby Street","1500 Derby St.","Berkeley","94703-1817","CA","(510) 644-6360",,,"1980-07-01",,"0",,,"54","Unified School District","62","Intermediate/Middle Schools (Public)","TRAD","Traditional","INTMIDJR","Intermediate/Middle/Junior High","6-8","6-8","N","1","37.858687","-122.28","Marcos","Garcia","marcosgarcia@berkeley.net",,,,,,,"2015-06-18","125"
"01611436090302","0604740","00448","Active","Alameda","Berkeley Unified","Oxford Elementary","1130 Oxford Street","1130 Oxford St.","Berkeley","94707-2624","CA","1130 Oxford Street","1130 Oxford St.","Berkeley","94707-2624","CA","(510) 644-6300",,,"1980-07-01",,"0",,,"54","Unified School District","60","Elementary Schools (Public)","TRAD","Traditional","ELEM","Elementary","K-5","K-5","N","0","37.887796","-122.26827","Beth","Rhine","bethrhine@berkeley.net",,,,,,,"2015-06-18","126"
"01611436090310","0604740","00450","Active","Alameda","Berkeley Unified","Thousand Oaks Elementary","840 Colusa Avenue","840 Colusa Ave.","Berkeley","94707-1858","CA","840 Colusa Avenue","840 Colusa Ave.","Berkeley","94707-1858","CA","(510) 644-6368",,,"1980-07-01",,"0",,,"54","Unified School District","60","Elementary Schools (Public)","TRAD","Traditional","ELEM","Elementary","K-5","K-5","N","0","37.893082","-122.2804","Jennifer","Corn","jennifercorn@berkeley.net",,,,,,,"2015-06-18","127"
"01611436090328","0604740","00452","Active","Alameda","Berkeley Unified","Washington Elementary","2300 Martin Luther King Junior Way","2300 Martin Luther King Jr. Way","Berkeley","94704-1412","CA","2300 Martin Luther King Junior Way","2300 Martin Luther King Jr. Way","Berkeley","94704-1412","CA","(510) 644-6310",,,"1980-07-01",,"0",,,"54","Unified School District","60","Elementary Schools (Public)","TRAD","Traditional","ELEM","Elementary","K-5","K-5","N","0","37.866959","-122.27257","Katia","Hazen","katiahazen@berkeley.net",,,,,,,"2015-08-12","128"
"01611436090336","0604740",,"Closed","Alameda","Berkeley Unified","Whittier Primary","1645 Milvia Street","1645 Milvia St.","Berkeley","94709","CA","1645 Milvia Street","1645 Milvia St.","Berkeley","94709","CA",,,,"1980-07-01","1984-09-26","0",,,"54","Unified School District","60","Elementary Schools (Public)",,,"UG","Ungraded",,,,,,,,,,,,,,,,"1999-06-24","129"
"01611436096077","0604740",,"Closed","Alameda","Berkeley Unified","Kilimanjaro","830 Regal Road","830 Regal Rd.","Berkeley","94708","CA","830 Regal Road","830 Regal Rd.","Berkeley","94708","CA",,,,"1980-07-01","1989-06-30","0",,,"54","Unified School District","66","High Schools (Public)",,,"UG","Ungraded",,,,,,,,,,,,,,,,"1999-06-24","130"
"01611436097729","0604740","00431","Active","Alameda","Berkeley Unified","Berkeley Arts Magnet at Whittier","1645 Milvia Street","1645 Milvia St.","Berkeley","94709-2073","CA","1645 Milvia Street","1645 Milvia St.","Berkeley","94709-2073","CA","(510) 644-6225",,,"1980-07-01",,"0",,,"54","Unified School District","60","Elementary Schools (Public)","TRAD","Traditional","ELEM","Elementary","K-5","K-5","N","1","37.876919","-122.27123","Rene","Molina","renemolina@berkeley.net",,,,,,,"2015-06-18","131"
"01611436101042","0604740",,"Closed","Alameda","Berkeley Unified","Berkeley Alternative Jr. High","2425 Stuart Street","2425 Stuart St.","Berkeley","94705","CA","2425 Stuart Street","2425 Stuart St.","Berkeley","94705","CA",,,,"1980-07-01","1989-06-30","0",,,"54","Unified School District","64","Junior High Schools (Public)",,,"UG","Ungraded",,,,,,,,,,,,,,,,"1999-06-24","132"
"01611436105316","0604740","08119","Active","Alameda","Berkeley Unified","John Muir Elementary","2955 Claremont Avenue","2955 Claremont Ave.","Berkeley","94705-2449","CA","2955 Claremont Avenue","2955 Claremont Ave.","Berkeley","94705-2449","CA","(510) 644-6410",,,"1980-07-01",,"0",,,"54","Unified School District","60","Elementary Schools (Public)","TRAD","Traditional","ELEM","Elementary","K-5","K-5","N","0","37.857194","-122.24593","Audrey","Amos","audreyamos@berkeley.net",,,,,,,"2015-06-18","133"
"01611439007139","0604740",,"Merged","Alameda","Berkeley Unified","Franklin Parent Nursery","1460 Eighth Street","1460 Eighth St.","Berkeley","94703","CA","1460 Eighth Street","1460 Eighth St.","Berkeley","94703","CA",,,,"1980-07-01","1999-11-24","0",,,"54","Unified School District","08","Preschool",,,"UG","Ungraded",,,,,,,,,,,,,,,,"2000-05-11","134"
"01611439011354","0604740",,"Merged","Alameda","Berkeley Unified","Longfellow Parent Nursery","1522 Ward Street","1522 Ward St.","Berkeley","94705","CA","1522 Ward Street","1522 Ward St.","Berkeley","94705","CA",,,,"1980-07-01","1989-06-30","0",,,"54","Unified School District","08","Preschool",,,"UG","Ungraded",,,,,,,,,,,,,,,,"1999-06-24","135"
"01611439011362","0604740",,"Merged","Alameda","Berkeley Unified","UC Child Study Parent Nursery","2425 Atherton","2425 Atherton","Berkeley","94705","CA","2425 Atherton","2425 Atherton","Berkeley","94705","CA",,,,"1980-07-01","1989-06-30","0",,,"54","Unified School District","08","Preschool",,,"UG","Ungraded",,,,,,,,,,,,,,,,"1999-06-24","136"
"01611500000000","0607800",,"Active","Alameda","Castro Valley Unified",,"4400 Alma Avenue","4400 Alma Ave.","Castro Valley","94546-0146","CA","PO Box 2146","PO Box 2146","Castro Valley","94546-0146","CA","(510) 537-3000","1240","www.cv.k12.ca.us",,,,,,"54","Unified School District",,,,,,,,,,,"37.707693","-122.07038","Parvin","Ahmadi","pahmadi@cv.k12.ca.us",,,,,,,"2015-06-23","137"
"01611500102194","0607800","11357","Closed","Alameda","Castro Valley Unified","Redwood Alternative High","18400 Clifton Way","18400 Clifton Way","Castro Valley","94546","CA","18400 Clifton Way","18400 Clifton Way","Castro Valley","94546","CA",,,,"2003-08-27","2010-06-30","0",,,"54","Unified School District","63","Alternative Schools of Choice","ALTSOC","Alternative School of Choice","HS","High School","9-12","9-12",,,"37.7128","-122.09305",,,,,,,,,,"2013-07-02","138"
"01611500118216","0607800","12607","Active","Alameda","Castro Valley Unified","Alma Preschool","4400 Alma Avenue","4400 Alma Ave.","Castro Valley","94546-3104","CA","4400 Alma Avenue","4400 Alma Ave.","Castro Valley","94546-3104","CA","(510) 537-3000","1200","www.cv.k12.ca.us","2008-09-02",,"0",,,"54","Unified School District","08","Preschool","TRAD","Traditional","PS","Preschool","P",,"N",,"37.707693","-122.07038","Suzy","Williams","swilliams@cv.k12.ca.us",,,,,,,"2015-06-11","139"
"01611500130039","0607800","13206","Active","Alameda","Castro Valley Unified","Castro Valley Adult and Career Education","4430 Alma Avenue","4430 Alma Ave.","Castro Valley","94546-4704","CA","PO Box 2146","PO Box 2146","Castro Valley","94546","CA","(510) 886-1000",,"www.cvadult.org","1980-07-01",,"0",,,"54","Unified School District","70","Adult Education Centers","TRAD","Traditional","A","Adult","Adult",,"P",,"37.708006","-122.07118","Susie","Passeggi","spasseggi@cv.k12.ca.us",,,,,,,"2016-03-14","140"
"01611500130047","0607800","00750","Active","Alameda","Castro Valley Unified","Roy A. Johnson High","18400 Clifton Way","18400 Clifton Way","Castro Valley","94546-0146","CA","PO Box 2146","PO Box 2146","Castro Valley","94546","CA","(510) 537-3000","1311",,"1980-07-01",,"0",,,"54","Unified School District","09","Special Education Schools (Public)","SPEC","Special Education School","HS","High School","9-12",,"N","0","37.713501","-122.09222","Erica","Ehmann","eehmann@cv.k12.ca.us",,,,,,,"2015-12-19","141"
"01611500130195","0607800",,"Closed","Alameda","Castro Valley Unified","Redwood Adult Center","4400 Alma Avenue","4400 Alma Ave.","Castro Valley","94546","CA","4400 Alma Avenue","4400 Alma Ave.","Castro Valley","94546","CA",,,,"1980-07-01","1989-06-30","0",,,"54","Unified School District","70","Adult Education Centers",,,"UG","Ungraded",,,,,,,,,,,,,,,,"1999-06-24","142"
"01611500132209","0607800",,"Closed","Alameda","Castro Valley Unified","Castro Valley Evening High Sch","19400 Santa Maria Avenue","19400 Santa Maria Ave.","Castro Valley","94546","CA","19400 Santa Maria Avenue","19400 Santa Maria Ave.","Castro Valley","94546","CA",,,,"1980-07-01","1989-06-30","0",,,"54","Unified School District","70","Adult Education Centers",,,"UG","Ungraded",,,,,,,,,,,,,,,,"1999-06-24","143"
"01611500132225","0607800","00742","Active","Alameda","Castro Valley Unified","Castro Valley High","19400 Santa Maria Avenue","19400 Santa Maria Ave.","Castro Valley","94546-3400","CA","PO Box 2146","PO Box 2146","Castro Valley","94546","CA","(510) 537-5910",,,"1980-07-01",,"0",,,"54","Unified School District","66","High Schools (Public)","TRAD","Traditional","HS","High School","9-12","9-12","N","0","37.705184","-122.07847","Blaine","Torpey","btorpey@cv.k12.ca.us",,,,,,,"2015-06-18","144"
"01611500133876","0607800",,"Active","Alameda","Castro Valley Unified","Castro Valley Virtual Academy","18400 Clifton Way","18400 Clifton Way","Castro Valley","94546-2020","CA","18400 Clifton Way","18400 Clifton Way","Castro Valley","94546-2020","CA","(510) 537-3193",,"www.cv.k12.ca.us","2016-07-01",,"0",,,"54","Unified School District","65","K-12 Schools (Public)","TRAD","Traditional","ELEMHIGH","Elementary-High Combination","K-12",,"P","0","37.713501","-122.09222","Erica","Ehmann","eehmann@cv.k12.ca.us",,,,,,,"2016-06-20","145"
"01611500135533","0607800","00744","Active","Alameda","Castro Valley Unified","Redwood Continuation High","18400 Clifton Way","18400 Clifton Way","Castro Valley","94546-0146","CA","18400 Clifton Way","18400 Clifton Way","Castro Valley","94546-0146","CA","(510) 537-3193",,,"1980-07-01",,"0",,,"54","Unified School District","68","Continuation High Schools","CON","Continuation School","HS","High School","9-12","9-12","P","0","37.7128","-122.09305","Erica","Ehmann","eehmann@cv.k12.ca.us",,,,,,,"2015-06-18","146"
"01611506090344","0607800",,"Closed","Alameda","Castro Valley Unified","A. B. Morris Intermediate","3310 Barlow Drive","3310 Barlow Dr.","Castro Valley","94546","CA","3310 Barlow Drive","3310 Barlow Dr.","Castro Valley","94546","CA",,,,"1980-07-01","1989-06-30","0",,,"54","Unified School District","62","Intermediate/Middle Schools (Public)",,,"UG","Ungraded",,,,,,,,,,,,,,,,"1999-06-24","147"
"01611506090351","0607800","00741","Active","Alameda","Castro Valley Unified","Castro Valley Elementary","20185 San Miguel Avenue","20185 San Miguel Ave.","Castro Valley","94546-0146","CA","PO Box 2146","PO Box 2146","Castro Valley","94546-0146","CA","(510) 537-1919",,,"1980-07-01",,"0",,,"54","Unified School District","60","Elementary Schools (Public)","TRAD","Traditional","ELEM","Elementary","K-5","K-5","N","0","37.698047","-122.08102","Gina","Faria","gfaria@cv.k12.ca.us",,,,,,,"2016-09-13","148"
"01611506090369","0607800","07661","Active","Alameda","Castro Valley Unified","Chabot Elementary","19104 Lake Chabot Road","19104 Lake Chabot Rd.","Castro Valley","94546-2936","CA","PO Box 2146","PO Box 2146","Castro Valley","94546","CA","(510) 537-2342",,,"1980-07-01",,"0",,,"54","Unified School District","60","Elementary Schools (Public)","TRAD","Traditional","ELEM","Elementary","K-5","K-5","N","0","37.707084","-122.09012","Vivienne","Paratore","vparatore@cv.k12.ca.us",,,,,,,"2015-06-18","149"
"01611506090377","0607800",,"Closed","Alameda","Castro Valley Unified","Clifton Elementary","18400 Clifton Way","18400 Clifton Way","Castro Valley","94546","CA","18400 Clifton Way","18400 Clifton Way","Castro Valley","94546","CA",,,,"1980-07-01","1989-06-30","0",,,"54","Unified School District","60","Elementary Schools (Public)",,,"UG","Ungraded",,,,,,,,,,,,,,,,"1999-06-24","150"
"01611506090385","0607800","06909","Active","Alameda","Castro Valley Unified","Creekside Middle","19722 Center Street","19722 Center St.","Castro Valley","94546-4704","CA","PO Box 2146","PO Box 2146","Castro Valley","94546","CA","(510) 247-0665",,,"1997-09-01",,"0",,,"54","Unified School District","62","Intermediate/Middle Schools (Public)","TRAD","Traditional","INTMIDJR","Intermediate/Middle/Junior High","6-8","6-8","N","0","37.699926","-122.06124","Jaliza","Eagles","jeagles@cv.k12.ca.us",,,,,,,"2015-12-18","151"
"01611506090393","0607800","09342","Active","Alameda","Castro Valley Unified","Independent Elementary","21201 Independent School Road","21201 Independent School Rd.","Castro Valley","94552-4826","CA","PO Box 2146","PO Box 2146","Castro Valley","94546","CA","(510) 537-9558",,,"1980-07-01",,"0",,,"54","Unified School District","60","Elementary Schools (Public)","TRAD","Traditional","ELEM","Elementary","K-5","K-5","N","0","37.699109","-122.04975","Jim","Kentris","jkentris@cv.k12.ca.us",,,,,,,"2015-06-18","152"
"01611506090401","0607800","00746","Active","Alameda","Castro Valley Unified","Marshall Elementary","20111 Marshall Street","20111 Marshall St.","Castro Valley","94546-4656","CA","PO Box 2146","PO Box 2146","Castro Valley","94546","CA","(510) 537-2431",,,"1980-07-01",,"0",,,"54","Unified School District","60","Elementary Schools (Public)","TRAD","Traditional","ELEM","Elementary","K-5","K-5","N","0","37.697794","-122.06573","Tracie","Christmas","tchristmas@cv.k12.ca.us",,,,,,,"2016-09-13","153"
"01611506090419","0607800","00747","Active","Alameda","Castro Valley Unified","Palomares Elementary","6395 Palo Verde Road","6395 Palo Verde Rd.","Castro Valley","94552-9708","CA","PO Box 2146","PO Box 2146","Castro Valley","94546","CA","(510) 582-4207",,,"1980-07-01",,"0",,,"54","Unified School District","60","Elementary Schools (Public)","TRAD","Traditional","ELEM","Elementary","K-5","K-5","N","0","37.695582","-122.0248","Jennifer","Tomita","jtomita@cv.k12.ca.us",,,,,,,"2015-06-18","154"
"01611506090427","0607800",,"Closed","Alameda","Castro Valley Unified","Parsons Elementary","17570 Almond Road","17570 Almond Rd.","Castro Valley","94546","CA","17570 Almond Road","17570 Almond Rd.","Castro Valley","94546","CA",,,,"1980-07-01","1989-06-30","0",,,"54","Unified School District","60","Elementary Schools (Public)",,,"UG","Ungraded",,,,,,,,,,,,,,,,"1999-06-24","155"
"01611506090435","0607800","00749","Active","Alameda","Castro Valley Unified","Proctor Elementary","17520 Redwood Road","17520 Redwood Rd.","Castro Valley","94546-1434","CA","PO Box 2146","PO Box 2146","Castro Valley","94546","CA","(510) 537-0630",,,"1980-07-01",,"0",,,"54","Unified School District","60","Elementary Schools (Public)","TRAD","Traditional","ELEM","Elementary","K-5","K-5","N","0","37.716742","-122.07366","Lisa","Garcia","lgarcia@cv.k12.ca.us",,,,,,,"2015-06-18","156"
"01611506090443","0607800",,"Closed","Alameda","Castro Valley Unified","Redwood Elementary","19722 Center Street","19722 Center St.","Castro Valley","94546","CA","19722 Center Street","19722 Center St.","Castro Valley","94546","CA",,,,"1980-07-01","1989-06-30","0",,,"54","Unified School District","60","Elementary Schools (Public)",,,"UG","Ungraded",,,,,,,,,,,,,,,,"1999-06-24","157"
"01611506090450","0607800",,"Closed","Alameda","Castro Valley Unified","Redwood Primary","4208 James Avenue","4208 James Ave.","Castro Valley","94546","CA","4208 James Avenue","4208 James Ave.","Castro Valley","94546","CA",,,,"1980-07-01","1989-06-30","0",,,"54","Unified School District","60","Elementary Schools (Public)",,,"UG","Ungraded",,,,,,,,,,,,,,,,"1999-06-24","158"
"01611506090468","0607800","09525","Active","Alameda","Castro Valley Unified","Stanton Elementary","2644 Somerset Avenue","2644 Somerset Ave.","Castro Valley","94546-4016","CA","PO Box 2146","PO Box 2146","Castro Valley","94546","CA","(510) 727-9192",,,"1980-07-01",,"0",,,"54","Unified School District","60","Elementary Schools (Public)","TRAD","Traditional","ELEM","Elementary","K-5","K-5","N","0","37.699908","-122.09352","Robin","Ormsby","rormsby@cv.k12.ca.us",,,,,,,"2015-12-18","159"
"01611506090476","0607800",,"Closed","Alameda","Castro Valley Unified","Sydney Elementary","2755 Sydney Way","2755 Sydney Way","Castro Valley","94546","CA","2755 Sydney Way","2755 Sydney Way","Castro Valley","94546","CA",,,,"1980-07-01","1989-06-30","0",,,"54","Unified School District","60","Elementary Schools (Public)",,,"UG","Ungraded",,,,,,,,,,,,,,,,"1999-06-24","160"
"01611506090484","0607800","00752","Active","Alameda","Castro Valley Unified","Vannoy Elementary","5100 Vannoy","5100 Vannoy","Castro Valley","94546-0146","CA","PO Box 2146","PO Box 2146","Castro Valley","94546-0146","CA","(510) 537-1832",,,"1980-07-01",,"0",,,"54","Unified School District","60","Elementary Schools (Public)","TRAD","Traditional","ELEM","Elementary","K-5","K-5","N","0","37.706636","-122.05868","Greg","Ko","gko@cv.k12.ca.us",,,,,,,"2015-06-18","161"
"01611506097653","0607800","00740","Active","Alameda","Castro Valley Unified","Canyon Middle","19600 Cull Canyon Road","19600 Cull Canyon Rd.","Castro Valley","94552-3715","CA","PO Box 2146","PO Box 2146","Castro Valley","94546","CA","(510) 538-8833",,,"1980-07-01",,"0",,,"54","Unified School District","62","Intermediate/Middle Schools (Public)","TRAD","Traditional","INTMIDJR","Intermediate/Middle/Junior High","6-8","6-8","N","0","37.705772","-122.05426","Matthew","Steinecke","msteinecke@cv.k12.ca.us",,,,,,,"2015-06-18","162"
"01611506113005","0607800","04339","Active","Alameda","Castro Valley Unified","Jensen Ranch Elementary","20001 Carson Lane","20001 Carson Ln.","Castro Valley","94552-1001","CA","PO Box 2146","PO Box 2146","Castro Valley","94546","CA","(510) 537-6365",,,"1995-09-01",,"0",,,"54","Unified School District","60","Elementary Schools (Public)","TRAD","Traditional","ELEM","Elementary","K-5","K-5","N","0","37.713125","-122.03122","Dustin","Gacherieu","dgacherieu@cv.k12.ca.us",,,,,,,"2015-06-18","163"
"01611680000000","0612630",,"Active","Alameda","Emery Unified",,"1275 - 61st Street","1275 - 61st St.","Emeryville","94608-3035","CA","1275 - 61st Street","1275 - 61st St.","Emeryville","94608-3035","CA","(510) 601-4000",,"www.emeryusd.k12.ca.us",,,,,,"54","Unified School District",,,,,,,,,,,"37.842955","-122.28843","John","Rubio","john.rubio@emeryusd.org",,,,,,,"2015-07-30","164"
"01611680119933","0612630","13526","Active","Alameda","Emery Unified","Emeryville Preschool Students","1275 - 61st Street","1275 - 61st St.","Emeryville","94608-2132","CA","1275 - 61st Street","1275 - 61st St.","Emeryville","94608-2132","CA","(510) 601-4000",,"www.emeryusd.k12.ca.us","2009-06-30",,"0",,,"54","Unified School District","08","Preschool","TRAD","Traditional","ELEM","Elementary","P","K","N",,"37.842955","-122.28843","Mina","Hutchins","mina.hutchins@emeryusd.k12.ca.us",,,,,,,"2015-04-02","165"
"01611680132746","0612630","01426","Active","Alameda","Emery Unified","Emery Secondary","915 54th Street","915 54th St.","Oakland","94608-3142","CA","915 54th Street","915 54th St.","Oakland","94608-3142","CA","(510) 601-4963",,,"1980-07-01",,"0",,,"54","Unified School District","66","High Schools (Public)","TRAD","Traditional","HS","High School","9-12","9-12","N","0","37.838198","-122.27388","Douglas","Ferber","douglas.ferber@emeryusd.k12.ca.us",,,,,,,"2015-06-18","166"
"01611680138198","0612630",,"Closed","Alameda","Emery Unified","Emery Adult","4727 San Pablo Avenue","4727 San Pablo Ave.","Emeryville","94608-3035","CA","4727 San Pablo Avenue","4727 San Pablo Ave.","Emeryville","94608-3035","CA",,,,"1980-07-01","2006-02-07","0",,,"54","Unified School District","70","Adult Education Centers",,,"A","Adult","Adult",,,,,,,,,,,,,,,"2006-02-07","167"
"01611686000517","0612630",,"Closed","Alameda","Emery Unified","Ralph Hawley Elementary","1275 61st Street","1275 61st St.","Emeryville","94608","CA","1275 61st Street","1275 61st St.","Emeryville","94608","CA",,,,"1980-07-01","1989-06-30","0",,,"54","Unified School District","60","Elementary Schools (Public)",,,"UG","Ungraded",,,,,,,,,,,,,,,,"1999-06-24","168"
"01611686090492","0612630","01425","Active","Alameda","Emery Unified","Anna Yates Elementary","1070 41st Street","1070 41st St.","Emeryville","94608-3643","CA","1070 41st Street","1070 41st St.","Emeryville","94608-3643","CA","(510) 601-4916",,,"1980-07-01",,"0",,,"54","Unified School District","60","Elementary Schools (Public)","TRAD","Traditional","ELEM","Elementary","K-8","K-8","N","0","37.83222","-122.27837","Diane","Lang","diane.lang@emeryusd.k12.ca.us",,,,,,,"2015-06-18","169"
"01611686113450","0612630","05595","Closed","Alameda","Emery Unified","Emery Middle","1275 - 61st Street","1275 - 61st St.","Emeryville","94608","CA","1275 61st Street","1275 61st St.","Emeryville","94608","CA",,,,"1996-07-01","2003-06-17","0",,,"54","Unified School District","62","Intermediate/Middle Schools (Public)",,,"INTMIDJR","Intermediate/Middle/Junior High","6-8","6-8",,,,,,,,,,,,,,"2009-01-30","170"
"01611760000000","0614400",,"Active","Alameda","Fremont Unified",,"4210 Technology Drive","4210 Technology Dr.","Fremont","94538-6337","CA","PO Box 5008","PO Box 5008","Fremont","94537-5008","CA","(510) 657-2350",,"www.fremont.k12.ca.us",,,,,,"54","Unified School District",,,,,,,,,,,"37.5078","-121.95443","James","Morris","jmorris@fremont.k12.ca.us",,,,,,,"2015-09-29","171"
"01611760127233","0614400","13083","Active","Alameda","Fremont Unified","Young Adult Program","4700 Calaveras Avenue","4700 Calaveras Ave.","Fremont","94538-1124","CA","4210 Technology Drive","4210 Technology Dr.","Fremont","94538","CA","(510) 659-2542",,,"2012-07-01",,"0",,,"54","Unified School District","09","Special Education Schools (Public)","SPEC","Special Education School","HS","High School","9-12","12","N","0","37.53812","-121.99201","Christopher","Crone","ccrone@fremont.k12.ca.us",,,,,,,"2015-06-18","172"
"01611760128298","0614400","13675","Active","Alameda","Fremont Unified","Glankler Early Learning Center","39207 Sundale Drive","39207 Sundale Dr.","Fremont","94538-1916","CA","39207 Sundale Drive","39207 Sundale Dr.","Fremont","94538-1916","CA","(510) 659-2542",,,"2013-07-01",,"0",,,"54","Unified School District","09","Special Education Schools (Public)","SPEC","Special Education School","ELEM","Elementary","P-K","1","N","0","37.540113","-121.98438","Angela","Morariu","amorariu@fremont.k12.ca.us",,,,,,,"2015-06-18","173"
"01611760130062","0614400","01654","Active","Alameda","Fremont Unified","American High","36300 Fremont Boulevard","36300 Fremont Blvd.","Fremont","94536-3511","CA","36300 Fremont Boulevard","36300 Fremont Blvd.","Fremont","94536-3511","CA","(510) 796-1776",,,"1972-07-01",,"0",,,"54","Unified School District","66","High Schools (Public)","TRAD","Traditional","HS","High School","9-12","9-12","N","0","37.563645","-122.01747","Steven","Musto","smusto@fremont.k12.ca.us",,,,,,,"2015-07-09","174"
"01611760130138","0614400","01686","Active","Alameda","Fremont Unified","Robertson High (Continuation)","4455 Seneca Park Avenue","4455 Seneca Park Ave.","Fremont","94538-4028","CA","4455 Seneca Park Avenue","4455 Seneca Park Ave.","Fremont","94538-4028","CA","(510) 657-9155",,,"1980-07-01",,"0",,,"54","Unified School District","68","Continuation High Schools","CON","Continuation School","HS","High School","9-12","10-12","N","0","37.518632","-121.96492","Salvador","Herrera","sherrera@fremont.k12.ca.us",,,,,,,"2015-06-18","175"
"01611760130435","0614400","09369","Active","Alameda","Fremont Unified","Vista Alternative","4455 Seneca Park Avenue","4455 Seneca Park Ave.","Fremont","94538-4028","CA","4455 Seneca Park Avenue","4455 Seneca Park Ave.","Fremont","94538-4028","CA","(510) 657-7028",,,"1980-07-01",,"0",,,"54","Unified School District","63","Alternative Schools of Choice","ALTSOC","Alternative School of Choice","HS","High School","7-12","8-12","N","0","37.518632","-121.96492","Salvador","Herrera","sherrera@fremont.k12.ca.us",,,,,,,"2015-07-21","176"
"01611760130534","0614400","07479","Active","Alameda","Fremont Unified","Circle of Independent Learning","4700 Calaveras Avenue","4700 Calaveras Ave.","Fremont","94538-1124","CA","4700 Calaveras Avenue","4700 Calaveras Ave.","Fremont","94538-1124","CA","(510) 797-0100",,"http://coil.schoolwires.net","1998-09-09",,"1","0152","Locally funded","54","Unified School District","65","K-12 Schools (Public)","TRAD","Traditional","ELEMHIGH","Elementary-High Combination","K-12","K-12","P","0","37.537962","-121.99206","Stephanie","Walton","swalton@fremont.k12.ca.us",,,,,,,"2016-08-18","177"
"01611760133108","0614400","13325","Active","Alameda","Fremont Unified","Fremont Adult","4700 Calaveras Avenue","4700 Calaveras Ave.","Fremont","94538-1124","CA","4700 Calaveras Avenue","4700 Calaveras Ave.","Fremont","94538-1124","CA","(510) 793-6465",,,"1980-07-01",,"0",,,"54","Unified School District","70","Adult Education Centers","TRAD","Traditional","A","Adult","Adult",,"P",,"37.538031","-121.99084","Gladys","Nazario","gnazario@fremont.k12.ca.us",,,,,,,"2016-07-20","178"
"01611760134270","0614400","01671","Active","Alameda","Fremont Unified","Irvington High","41800 Blacow Road","41800 Blacow Rd.","Fremont","94538-3353","CA","41800 Blacow Road","41800 Blacow Rd.","Fremont","94538-3353","CA","(510) 656-5711",,,"1980-07-01",,"0",,,"54","Unified School District","66","High Schools (Public)","TRAD","Traditional","HS","High School","9-12","9-12","N","1","37.522654","-121.96902","Sarah","Smoot","ssmoot@fremont.k12.ca.us",,,,,,,"2015-06-18","179"
"01611760134452","0614400","01672","Active","Alameda","Fremont Unified","John F. Kennedy High","39999 Blacow Road","39999 Blacow Rd.","Fremont","94538-1913","CA","39999 Blacow Road","39999 Blacow Rd.","Fremont","94538-1913","CA","(510) 657-4070",,,"1980-07-01",,"0",,,"54","Unified School District","66","High Schools (Public)","TRAD","Traditional","HS","High School","9-12","9-12","N","0","37.528399","-121.98312","Edward","Velez","evelez@fremont.k12.ca.us",,,,,,,"2015-06-18","180"
